,Date,Model Prediction,Actual Value
3164,2023-05-22,27336.205,26851.27734375
3165,2023-05-23,27394.81,27225.7265625
3166,2023-05-24,27534.408,26334.818359375
3167,2023-05-25,27262.275,26476.20703125
3168,2023-05-26,27162.574,26719.291015625
3169,2023-05-27,27229.148,26868.353515625
3170,2023-05-28,27555.701,28085.646484375
3171,2023-05-29,28288.613,27745.884765625
3172,2023-05-30,28660.312,27702.349609375
3173,2023-05-31,28646.957,27219.658203125
3174,2023-06-01,27891.086,26819.97265625
3175,2023-06-02,27367.926,27249.58984375
3176,2023-06-03,27190.205,27075.12890625
3177,2023-06-04,27135.666,27119.06640625
3178,2023-06-05,27018.088,25760.09765625
3179,2023-06-06,26738.854,27238.783203125
3180,2023-06-07,26936.82,26345.998046875
3181,2023-06-08,26832.041,26508.216796875
3182,2023-06-09,26781.082,26480.375
3183,2023-06-10,26857.775,25851.240234375
3184,2023-06-11,26142.219,25940.16796875
3185,2023-06-12,25973.7,25902.5
3186,2023-06-13,25887.428,25918.728515625
3187,2023-06-14,25707.168,25124.67578125
3188,2023-06-15,25493.537,25576.39453125
3189,2023-06-16,25640.371,26327.462890625
3190,2023-06-17,26110.932,26510.67578125
3191,2023-06-18,26515.443,26336.212890625
3192,2023-06-19,26810.219,26851.029296875
3193,2023-06-20,27326.943,28327.48828125
3194,2023-06-21,28415.615,30027.296875
3195,2023-06-22,29748.547,29912.28125
3196,2023-06-23,30577.416,30695.46875
3197,2023-06-24,30776.61,30548.6953125
3198,2023-06-25,30753.275,30480.26171875
3199,2023-06-26,30371.719,30271.130859375
3200,2023-06-27,30070.459,30688.1640625
3201,2023-06-28,29924.52,30086.24609375
3202,2023-06-29,29765.006,30445.3515625
3203,2023-06-30,29896.28,30477.251953125
3204,2023-07-01,30472.902,30590.078125
3205,2023-07-02,30619.906,30620.76953125
3206,2023-07-03,30813.854,31156.439453125
3207,2023-07-04,31012.273,30777.58203125
3208,2023-07-05,30909.275,30514.166015625
3209,2023-07-06,30563.027,29909.337890625
3210,2023-07-07,30143.303,30342.265625
3211,2023-07-08,30018.648,30292.541015625
3212,2023-07-09,30021.803,30171.234375
3213,2023-07-10,30108.574,30414.470703125
3214,2023-07-11,30723.271,30620.951171875
3215,2023-07-12,30906.445,30391.646484375
3216,2023-07-13,31084.064,31476.048828125
3217,2023-07-14,31443.488,30334.068359375
3218,2023-07-15,31117.387,30295.806640625
3219,2023-07-16,30752.998,30249.1328125
3220,2023-07-17,30519.207,30145.888671875
3221,2023-07-18,30289.254,29856.5625
3222,2023-07-19,30163.09,29913.923828125
3223,2023-07-20,30147.06,29792.015625
3224,2023-07-21,30160.05,29908.744140625
3225,2023-07-22,30213.547,29771.802734375
3226,2023-07-23,30268.26,30084.5390625
3227,2023-07-24,30757.479,29176.916015625
3228,2023-07-25,30373.973,29227.390625
3229,2023-07-26,30123.045,29354.97265625
3230,2023-07-27,30037.355,29210.689453125
3231,2023-07-28,29996.367,29319.24609375
3232,2023-07-29,30110.639,29356.91796875
3233,2023-07-30,30220.463,29275.30859375
3234,2023-07-31,30233.303,29230.111328125
3235,2023-08-01,30245.424,29675.732421875
3236,2023-08-02,30472.607,29151.958984375
3237,2023-08-03,30314.393,29178.6796875
3238,2023-08-04,30179.756,29074.091796875
3239,2023-08-05,30061.24,29042.126953125
3240,2023-08-06,29966.938,29041.85546875
3241,2023-08-07,29998.967,29180.578125
3242,2023-08-08,30209.756,29765.4921875
3243,2023-08-09,30491.9,29561.494140625
3244,2023-08-10,30617.834,29429.591796875
3245,2023-08-11,30606.766,29397.71484375
3246,2023-08-12,30488.678,29415.96484375
3247,2023-08-13,30252.783,29282.9140625
3248,2023-08-14,30147.438,29408.443359375
3249,2023-08-15,29881.266,29170.34765625
3250,2023-08-16,29666.053,28701.779296875
3251,2023-08-17,29130.598,26664.55078125
3252,2023-08-18,27711.617,26049.556640625
3253,2023-08-19,26605.99,26096.205078125
3254,2023-08-20,26095.69,26189.583984375
3255,2023-08-21,25980.5,26124.140625
3256,2023-08-22,26297.879,26031.65625
3257,2023-08-23,26593.77,26431.640625
3258,2023-08-24,26833.635,26162.373046875
3259,2023-08-25,26605.475,26047.66796875
3260,2023-08-26,26426.672,26008.462890625
3261,2023-08-27,26322.646,26089.693359375
3262,2023-08-28,26205.732,26106.150390625
3263,2023-08-29,26478.328,27727.392578125
3264,2023-08-30,27297.703,27297.265625
3265,2023-08-31,27569.037,25931.47265625
3266,2023-09-01,26892.957,25800.724609375
3267,2023-09-02,26312.195,25868.798828125
3268,2023-09-03,25852.195,25969.56640625
3269,2023-09-04,25688.91,25812.416015625
3270,2023-09-05,25751.504,25779.982421875
3271,2023-09-06,25890.756,25753.236328125
3272,2023-09-07,26087.74,26240.1953125
3273,2023-09-08,26295.453,25905.654296875
3274,2023-09-09,26292.72,25895.677734375
3275,2023-09-10,26092.516,25832.2265625
3276,2023-09-11,25666.89,25162.654296875
3277,2023-09-12,25326.193,25833.34375
3278,2023-09-13,25479.44,26228.32421875
3279,2023-09-14,26071.861,26539.673828125
3280,2023-09-15,26515.572,26608.693359375
3281,2023-09-16,26849.816,26568.28125
3282,2023-09-17,26933.648,26534.1875
3283,2023-09-18,26881.705,26754.28125
3284,2023-09-19,26919.686,27211.1171875
3285,2023-09-20,27091.957,27132.0078125
3286,2023-09-21,27122.445,26567.6328125
3287,2023-09-22,26902.219,26579.568359375
3288,2023-09-23,26734.775,26579.390625
3289,2023-09-24,26857.816,26256.826171875
3290,2023-09-25,26644.268,26298.48046875
3291,2023-09-26,26571.498,26217.25
3292,2023-09-27,26595.879,26352.716796875
3293,2023-09-28,26800.537,27021.546875
3294,2023-09-29,27225.03,26911.720703125
3295,2023-09-30,27472.379,26967.916015625
3296,2023-10-01,27760.3,27983.75
3297,2023-10-02,28189.611,27530.78515625
3298,2023-10-03,28195.033,27429.978515625
3299,2023-10-04,28133.094,27799.39453125
3300,2023-10-05,28119.637,27415.912109375
3301,2023-10-06,27987.04,27946.59765625
3302,2023-10-07,28144.209,27968.83984375
3303,2023-10-08,28409.525,27935.08984375
3304,2023-10-09,28400.139,27583.677734375
3305,2023-10-10,28262.164,27391.01953125
3306,2023-10-11,28118.096,26873.3203125
3307,2023-10-12,27652.068,26756.798828125
3308,2023-10-13,27313.566,26862.375
3309,2023-10-14,27322.389,26861.70703125
3310,2023-10-15,27544.545,27159.65234375
3311,2023-10-16,27938.223,28519.466796875
3312,2023-10-17,28845.924,28415.748046875
3313,2023-10-18,29345.826,28328.341796875
3314,2023-10-19,29535.709,28719.806640625
3315,2023-10-20,29793.451,29682.94921875
3316,2023-10-21,30240.383,29918.412109375
3317,2023-10-22,30622.566,29993.896484375
3318,2023-10-23,31104.402,33086.234375
3319,2023-10-24,32894.414,33901.52734375
3320,2023-10-25,34242.086,34502.8203125
3321,2023-10-26,34689.957,34156.6484375
3322,2023-10-27,34726.168,33909.80078125
3323,2023-10-28,34174.91,34089.57421875
3324,2023-10-29,33810.973,34538.48046875
3325,2023-10-30,33810.656,34502.36328125
3326,2023-10-31,34020.953,34667.78125
3327,2023-11-01,34469.863,35437.25390625
3328,2023-11-02,34964.523,34938.2421875
3329,2023-11-03,34958.008,34732.32421875
3330,2023-11-04,34513.516,35082.1953125
3331,2023-11-05,34357.094,35049.35546875
3332,2023-11-06,34267.63,35037.37109375
3333,2023-11-07,34370.227,35443.5625
3334,2023-11-08,34681.383,35655.27734375
3335,2023-11-09,35138.227,36693.125
3336,2023-11-10,35912.117,37313.96875
3337,2023-11-11,36555.508,37138.05078125
3338,2023-11-12,36713.426,37054.51953125
3339,2023-11-13,36509.207,36502.35546875
3340,2023-11-14,35770.117,35537.640625
3341,2023-11-15,35513.723,37880.58203125
3342,2023-11-16,36005.19,36154.76953125
3343,2023-11-17,35749.562,36596.68359375
3344,2023-11-18,35883.652,36585.703125
3345,2023-11-19,36546.484,37386.546875
3346,2023-11-20,39414.52,37476.95703125
3347,2023-11-21,40628.117,35813.8125
3348,2023-11-22,41200.47,37432.33984375
3349,2023-11-23,41640.277,37289.62109375
3350,2023-11-24,41942.797,37720.28125
